iso3c,country,income,hale_0,ghe_0,gdppc_0,year_0,hale_T,ghe_T,gdppc_T,year_T,d_hale,d_ghe,span
CPV,Cabo Verde,Lower middle income,62.4697352900704,3.16139579,7.08130076636926,2000,64.4112375095673,4.28369522,8.37177742895437,2022,1.94,1.12,22
BLZ,Belize,Upper middle income,60.8834361144564,1.42340589,8.46161088166032,2000,62.8093637098998,2.63710809,8.86339717527131,2022,1.93,1.21,22
KNA,St. Kitts and Nevis,High income,61.6295191616113,2.01197886,9.1398809382125,2000,63.4808281920611,2.93025994,9.95156371024531,2022,1.85,0.92,22
NZL,New Zealand,High income,66.639973383039,5.56446981,9.52084277258589,2000,68.4821226732602,8.14682388,10.7946663668926,2022,1.84,2.58,22
LCA,St. Lucia,Upper middle income,63.1250851067288,1.67430913,8.67923753373989,2000,64.9456604822678,2.13302684,9.48065939900872,2022,1.82,0.46,22
MKD,North Macedonia,Upper middle income,63.5725072678458,4.71220732,7.52935221243796,2000,65.3898156605891,4.33453941,8.93672391668581,2022,1.82,-0.38,22
HRV,Croatia,High income,64.6752605977629,6.50691032,8.50788027812315,2000,66.4721578167811,6.09427309,9.82369165654559,2022,1.8,-0.41,22
ITA,Italy,High income,68.976647910795,5.49627781,9.9129428878105,2000,70.752697587929,6.72013378,10.4816139348629,2022,1.78,1.22,22
MYS,Malaysia,Upper middle income,63.9828826844271,1.17325473,8.31471678203792,2000,65.7587296985854,1.97598696,9.37144611751724,2022,1.78,0.8,22
ESP,Spain,High income,68.8257021892616,4.87020016,9.59854178997157,2000,70.5797784513954,7.20880365,10.3179212788097,2022,1.75,2.34,22
VUT,Vanuatu,Lower middle income,59.5086213379687,2.46942925,7.28635483627562,2000,61.2332309246559,1.67315841,8.09935416767281,2022,1.72,-0.8,22
AUS,Australia,High income,67.800350076174,5.45143652,9.99289013346979,2000,69.4689942419939,7.35998535,11.0820966040323,2022,1.67,1.91,22
EGY,"Egypt, Arab Rep.",Lower middle income,58.1539161845814,1.73206902,7.21970993220825,2000,59.7908219049549,1.78292835,8.35073896111049,2022,1.64,0.05,22
CHL,Chile,High income,66.3827396376659,2.50570464,8.52773591264548,2000,67.9920009168222,5.07403803,9.64248743472882,2022,1.61,2.57,22
FRA,France,High income,68.3652347172954,6.97070313,10.0141606591821,2000,69.9789972799949,8.9622221,10.6233451118478,2022,1.61,1.99,22
GUY,Guyana,High income,56.8963851231743,1.78830874,6.83711460602891,2000,58.4835172758858,2.15520215,9.79330949595642,2022,1.59,0.37,22
SMR,San Marino,High income,69.9401743732618,4.30573463,10.5347781520189,2000,71.4731841301475,6.55952024,10.901626815911,2022,1.53,2.25,22
